comunidad_autonoma,provincia
Andalucía,Almería
Andalucía,Cádiz
Andalucía,Córdoba
Andalucía,Granada
Andalucía,Huelva
Andalucía,Jaén
Andalucía,Málaga
Andalucía,Sevilla
Aragón,Huesca
Aragón,Teruel
Aragón,Zaragoza
Asturias,Asturias
Islas Baleares,Islas Baleares
Canarias,Las Palmas
Canarias,Santa Cruz de Tenerife
Cantabria,Cantabria
Castilla y León,Ávila
Castilla y León,Burgos
Castilla y León,León
Castilla y León,Palencia
Castilla y León,Salamanca
Castilla y León,Segovia
Castilla y León,Soria
Castilla y León,Valladolid
Castilla y León,Zamora
Castilla-La Mancha,Albacete
Castilla-La Mancha,Ciudad Real
Castilla-La Mancha,Cuenca
Castilla-La Mancha,Guadalajara
Castilla-La Mancha,Toledo
Cataluña,Barcelona
Cataluña,Gerona
Cataluña,Lérida
Cataluña,Tarragona
Comunidad de Madrid,Madrid
Comunidad Valenciana,Alicante
Comunidad Valenciana,Castellón
Comunidad Valenciana,Valencia
Extremadura,Badajoz
Extremadura,Cáceres
Galicia,La Coruña
Galicia,Lugo
Galicia,Orense
Galicia,Pontevedra
La Rioja,La Rioja
Navarra,Navarra
País Vasco,Álava
País Vasco,Guipúzcoa
País Vasco,Vizcaya
Región de Murcia,Murcia
Ceuta,Ceuta
Melilla,Melilla
